Name,Weight (g),Type,Group,Denali,McBride Traverse,Day
Zero G (pair),3226,Ski Boots,Ski,1,1,1
Boot Gloves,152,Overboots,Ski,,,
Overboots,574,Overboots,Ski,1,,
Orb (pair),3466,Skis,Ski,,,
Orb Skins (pair),382,Skins,Ski,,,
Kästle TX 99 (pair),3716,Skis,Ski,1,1,
Kästle TX 99 Skins (pair),456,Skins,Ski,1,1,
Kästle TX 107 (pair),4142,Skis,Ski,,,1
Kästle TX 107 Skins (pair),502,Skins,Ski,,,1
Backland 107 (pair),3646,Skis,Ski,,,
Backland 107 Skins (pair),464,Skins,Ski,,,
Leki poles (pair),528,Poles,Ski,1,1,1
,,,,,,
Ortovox Litric Tour 40,2570,Pack,Pack,,,1
Raide LF40,1157,Pack,Pack,,,
Raide EX 55,1271,Pack,Pack,1,1,
MH AMG 75 S/M,2238,Pack,Pack,1,,
Patagonia Black Hole Duffel 70L,1445,Duffel,Pack,1,,
North Face Duffel 70L,1620,Duffel,Pack,,,
North Face Duffel 150L,2080,Duffel,Pack,,,
Douchebag,4689,Ski bag,Pack,1,,
,,,,,,
"Sony RX100 VII (with battery, SD card)",302,Camera,Camera,,,
Sony NP-BX1 Battery (with case),32,Camera Battery,Camera,,,
"Sony A7C (with kit lens, strap, battery, SD card)",710,Camera,Camera,1,,
Sony NP-FZ100 Battery,83,Camera Battery,Camera,1,,
GoPro Hero 10 Black with Helmet Mount,175,Camera,Camera,1,,
GoPro Battery,33,Camera Battery,Camera,2,,
DJI Mini Pro 4 + Controller,629,Drone,Camera,,,
Joby Tripod,196,Tripod,Camera,,,
PeakDesigns Capture Clip,71,Camera Clip,Camera,1,,
PeakDesigns Bag+Allen Key,22,Bag,Camera,,,
GoPro Case,155,Camera Bag,Camera,,,
LowePro Case,339,Camera Bag,Camera,,,
Blue Sea to Summit Drybag,27,Camera Bag,Camera,1,,
,,,,,,
Petzl Swift RL,96,Headlamp,Electronics ,1,1,1
Rockie Talkie 5W,298,Radio,Electronics ,,,
Rockie Talkie 2W,201,Radio,Electronics ,,1,
Garmin InReach Mini,100,PLB,Electronics ,1,1,1
COROS Apex 4,58,GPS Watch,Electronics ,1,1,1
COROS HR Monitor,21,GPS Watch,Electronics ,1,1,1
AirPods Pro,61,Headphones,Electronics ,1,1,
INIU 10000mAh,158,Battery Pack,Electronics ,1,1,
INIU 20000mAh,313,Battery Pack,Electronics ,1,,
Anker PowerPort 21W,443,Solar Panel,Electronics ,1,,
USB-MicroUSB Cable,9,Cable,Electronics ,1,,
USB-C-USB-C Cable,15,Cable,Electronics ,2,1,
USB-COROS Pace Cables (Watch and HR),9,Cable,Electronics ,1,1,
Kindle,210,Kindle,Electronics ,1,,
,,,,,,
"MacBook Pro 14""",1616,Laptop,Electronics ,,,
Laptop Case,258,Laptop Case,Electronics ,,,
Laptop Power Adapter,162,Power Adapter,Electronics ,,,
AUS/NZ Adapter,29,International Adapter,Electronics ,,,
EU Adapter,8,International Adapter,Electronics ,,,
UK Adapter,27,International Adapter,Electronics ,,,
Travel Drive,57,SSD,Electronics ,,,
,,,,,,
"Repair kit (bit driver, knife, ski strap, skin wax, skin repair)",297,Repair Kit,Repair Kit (group),1,1,1
Bit driver + bits,120,Bit Driver,Repair Kit (group),,,
Leatherman Squirt PS4,57,Knife,Repair Kit (group),,,
Long Ski Strap,29,Ski Strap,Repair Kit (group),,,
Skin Wax,37,Wax,Repair Kit (group),,,
"Skin Repair Kit (tail clip, tip, rivets)",33,Skin Repair,Repair Kit (group),,,
Scraper,21,Scraper,Repair Kit (group),1,1,1
,,,,,,
Leukotape (whole roll),113,Leukotape,Medical Kit (group),1,,
Leukotape (small roll),17,Leukotape,Medical Kit (group),,1,1
Caffeine,1,Drugs,Medical Kit (group),1,1,1
Ibuprofen,1,Drugs,Medical Kit (group),1,1,1
Zofran,1,Drugs,Medical Kit (group),1,,
Nifedipine,1,Drugs,Medical Kit (group),1,,
Dexamethasone,1,Drugs,Medical Kit (group),1,,
